Temperature,Pressure,Humidity,Machine_Speed,Production_Time,Shift,Operator_Experience_Years,Material_Type,Defect
55.4,28.44,46.48,976,9,Day,2,Steel,0
61.72,33.09,57.17,851,2,Night,2,Steel,0
76.97,39.93,29.78,1345,6,Night,6,Steel,0
82.38,30.62,41.51,821,7,Night,11,Aluminum,0
76.71,28.92,44.28,1452,3,Day,9,Aluminum,1
73.84,28.7,18.28,1118,4,Evening,6,Steel,0
71.99,30.62,34.14,1582,7,Night,14,Aluminum,1
60.21,25.86,36.86,967,9,Evening,10,Aluminum,0
67.8,30.6,54.48,837,5,Evening,0,Plastic,1
70.39,32.25,37.93,1557,11,Day,2,Aluminum,1
85.57,31.05,36.82,1546,2,Day,0,Aluminum,1
78.44,32.29,53.17,1366,8,Evening,8,Aluminum,0
57.37,32.17,28.82,1172,9,Day,13,Steel,0
78.24,21.14,24.29,1431,11,Evening,13,Steel,1
71.15,33.18,41.38,1377,11,Night,6,Aluminum,0
68.23,26.64,30.52,1226,2,Evening,13,Plastic,0
81.12,24.52,30.9,965,10,Evening,12,Aluminum,0
85.31,24.48,50.73,1521,10,Night,4,Plastic,1
84.31,32.17,53.76,1301,1,Day,6,Plastic,0
66.61,28.89,52.89,874,4,Evening,2,Aluminum,0
71.91,21.59,56.09,1239,1,Day,2,Plastic,0
78.31,32.39,57.41,1445,1,Night,0,Plastic,1
84.76,22.8,23.71,1064,5,Evening,4,Plastic,0
70.21,30.7,49.5,1205,7,Evening,6,Aluminum,0
73.14,31.19,39.7,1485,3,Evening,2,Plastic,1
63.94,34.43,37.53,1042,7,Evening,4,Aluminum,0
63.04,38.91,50.6,1400,5,Day,9,Steel,0
83.13,23.18,27.7,1561,10,Day,0,Aluminum,1
88.56,29.74,27.49,1342,11,Night,13,Steel,1
74.28,28.62,51.34,1076,8,Day,6,Steel,0
85.04,32.17,49.88,1349,7,Evening,12,Aluminum,1
78.62,31.08,46.37,1107,1,Night,10,Steel,0
68.55,28.24,36.2,1202,1,Evening,14,Aluminum,0
78.61,27.8,52.44,1449,7,Evening,14,Aluminum,1
90.38,24.42,51.8,1229,6,Night,7,Plastic,1
74.64,34.94,45.85,875,9,Evening,7,Steel,0
90.65,32.3,33.23,1138,8,Evening,0,Aluminum,1
48.8,34.59,40.75,1564,6,Night,3,Aluminum,1
83.22,28.45,53.38,1249,6,Day,8,Steel,0
75.87,26.72,58.27,878,9,Night,1,Steel,1
72.01,24.61,41.73,837,4,Night,0,Steel,1
75.92,31.79,42.5,1117,9,Night,5,Steel,0
55.12,24.8,43.38,1127,11,Day,13,Aluminum,0
72.8,39.24,47.75,1229,11,Night,12,Steel,0
78.57,23.46,39.19,962,8,Day,12,Aluminum,0
89.78,31.37,16.06,1157,3,Evening,10,Steel,1
69.82,37.83,56.93,1439,11,Night,10,Plastic,1
66.92,33,62.95,1469,4,Evening,0,Steel,1
69.98,30.88,38.88,1128,7,Evening,5,Steel,0
84.15,25.16,34.33,1213,3,Day,0,Aluminum,1
78.29,23.09,43.63,1394,3,Evening,14,Aluminum,0
69.7,33.85,43.12,1275,8,Evening,5,Plastic,0
80.13,37.53,54.96,1255,5,Night,14,Plastic,0
75.97,27.81,45.55,1528,5,Evening,8,Steel,1
84.69,24.3,37.07,1513,8,Night,12,Aluminum,1
67.98,17.71,31.82,1589,6,Evening,4,Steel,1
71.72,25.1,53.66,951,5,Day,3,Aluminum,0
71.08,29.43,51,1337,1,Evening,7,Aluminum,0
60.36,38,55.61,1214,5,Day,3,Aluminum,0
77.96,33.37,35.32,1142,8,Night,3,Aluminum,0
77.61,31.53,63.38,1565,9,Night,10,Plastic,1
75.05,28,27.56,1185,6,Evening,12,Aluminum,0
72.65,27.08,52.1,1562,11,Evening,8,Plastic,1
60.85,37.03,25.9,966,10,Night,0,Plastic,1
70.79,31,37.1,1271,3,Night,11,Steel,0
71.57,19.49,60.61,939,8,Night,2,Steel,1
66.98,26.63,53.31,1028,5,Day,10,Plastic,0
73.39,25.71,39.54,872,2,Evening,3,Plastic,0
79.04,27.27,39.81,1227,1,Night,7,Plastic,0
93.86,32.81,46.01,1098,11,Night,0,Aluminum,1
76.75,29.46,50.14,1035,8,Evening,2,Aluminum,0
77.58,29.62,57.52,1506,2,Evening,13,Plastic,1
74.26,36.57,40.44,1399,11,Day,13,Plastic,0
55.81,26.52,28.88,896,3,Night,1,Plastic,1
74.73,39.32,46.57,1277,9,Evening,5,Steel,0
75.6,26.64,40.43,1477,1,Day,11,Steel,1
99.63,30.45,31.99,1290,8,Night,8,Aluminum,1
73.08,28.59,47.98,1095,2,Day,9,Aluminum,0
78.02,30.62,42.87,1205,8,Evening,12,Steel,0
74.65,32.22,48.07,1514,2,Day,8,Aluminum,1
63.31,32.17,36.06,1246,7,Night,14,Aluminum,0
86.43,26.23,49.87,1498,3,Evening,9,Plastic,1
82.52,24.39,31.83,1074,4,Night,4,Plastic,0
82.91,42.52,36.72,819,11,Day,2,Steel,0
65.91,27.58,42.57,1384,1,Day,7,Plastic,0
89.03,33.5,62.42,1226,10,Day,8,Aluminum,1
60.98,21.96,52.85,1160,1,Evening,8,Plastic,0
80.87,28.6,55.77,1109,11,Day,10,Aluminum,0
96.9,29.36,59.17,1393,10,Evening,0,Steel,1
65.09,32.36,81.03,1155,11,Day,11,Plastic,1
69.34,16.39,45.42,826,8,Day,14,Steel,0
76,30.83,59.2,1452,8,Evening,9,Plastic,1
69.97,24.25,55.13,846,2,Evening,4,Plastic,0
59.49,31.62,54.96,1255,4,Evening,12,Plastic,0
75.69,24.82,62.74,911,2,Night,9,Steel,1
64.38,25.72,40.81,1546,8,Day,11,Plastic,1
79.74,28.63,40.01,1462,7,Night,8,Aluminum,1
65.81,24.74,48.2,1174,7,Day,10,Plastic,0
90.5,27.62,43.17,1114,10,Day,2,Plastic,1
67.17,24.03,48.19,925,3,Day,6,Aluminum,0
71.78,20.83,60.63,806,11,Day,8,Steel,1
83.14,35.09,40.22,1361,5,Night,13,Steel,0
62.69,23.52,41.95,1159,1,Day,12,Aluminum,0
77.27,29.11,46.74,1377,10,Night,1,Plastic,1
88.07,33.76,42.72,1161,11,Evening,1,Aluminum,1
58.93,26.93,25.86,1478,4,Night,4,Aluminum,1
76.85,25.87,39.2,1563,4,Day,7,Plastic,1
77.6,31.13,51.87,1574,1,Night,9,Aluminum,1
82.82,35.59,59.38,1507,7,Night,4,Steel,1
62.63,24.15,33.45,1494,5,Evening,7,Steel,1
61.8,29.25,33.41,1063,1,Evening,3,Steel,0
80.22,21.34,45.3,1599,5,Evening,8,Aluminum,1
77.97,28.03,24.24,1074,8,Day,12,Plastic,0
77.5,30.17,40.55,1429,10,Night,3,Steel,1
78.46,25.73,27.64,1195,8,Night,4,Plastic,0
68.2,27.72,58.69,1112,2,Evening,11,Plastic,0
77.32,22.96,37.31,1291,1,Day,11,Steel,0
77.93,30.39,61.53,1588,2,Day,11,Aluminum,1
67.86,35.28,56.14,1203,6,Day,6,Steel,0
93.66,24.51,38.54,1176,5,Evening,8,Aluminum,1
79.74,26.89,34.28,1443,4,Day,14,Plastic,1
63.09,32.51,43.06,1458,8,Day,4,Steel,1
81.57,36.06,43.95,1340,5,Day,13,Steel,0
65.25,22.53,48.46,1119,4,Evening,6,Aluminum,0
82.87,29.16,37.23,1024,11,Evening,12,Aluminum,0
86.59,31.42,52.46,1255,8,Night,12,Plastic,1
66.79,29.49,47.65,1450,1,Night,3,Steel,1
84.63,17.62,41.6,1088,9,Night,1,Steel,1
79.13,32.51,37.88,1080,2,Evening,1,Steel,1
83.22,37.6,43.15,1216,8,Night,4,Aluminum,0
93.97,30.58,36.83,1283,9,Day,1,Aluminum,1
72.55,24.84,45.58,1337,10,Evening,13,Steel,0
67.46,27.43,45.85,1578,8,Evening,14,Aluminum,1
66.1,38.85,47.62,1597,9,Night,1,Plastic,1
66.84,34.55,62.66,1112,4,Day,1,Steel,1
74.23,33.2,43.68,1408,11,Day,3,Steel,1
78.41,31.78,55.05,1449,2,Evening,7,Plastic,1
77.77,26.69,47.3,1592,3,Evening,6,Steel,1
83.27,29,42.62,1407,8,Night,4,Steel,1
75.13,29.61,43.81,856,5,Day,6,Steel,0
89.54,32.75,44.41,922,11,Evening,5,Steel,1
72.35,37.54,47.8,1542,4,Day,14,Aluminum,1
102.2,35.59,35.41,1089,3,Evening,7,Plastic,1
81.26,22.9,30.35,1397,11,Night,13,Steel,0
66.43,31.12,51.54,1109,3,Evening,14,Aluminum,0
64.29,33.68,53.98,1362,10,Evening,7,Steel,0
79.82,33.09,52.46,1027,10,Evening,6,Aluminum,0
72.77,26.85,46.55,805,7,Night,4,Aluminum,0
82.14,44.57,52.67,1242,11,Night,5,Plastic,0
79.73,23.61,52.13,1109,8,Night,10,Aluminum,0
74.27,24.58,52.88,1584,5,Evening,10,Steel,1
66.53,31.17,36.4,801,8,Evening,9,Plastic,0
59.85,40.58,34.03,1587,9,Day,7,Plastic,1
70.53,25.82,41.11,1402,4,Night,6,Steel,1
83.56,28.67,44.83,1573,2,Night,4,Steel,1
77.14,35.39,42.58,1553,5,Evening,9,Plastic,1
62.54,29.91,26.23,1174,2,Night,7,Aluminum,0
76.73,28.33,62.22,1045,10,Day,3,Plastic,1
78.85,32.83,42.26,1271,2,Night,12,Plastic,0
66.16,31.36,46.73,1390,6,Night,5,Steel,0
76.54,35.15,57.45,1103,10,Night,3,Steel,0
75.58,36.46,21.55,857,11,Day,11,Steel,0
63.57,31.54,39.88,1024,10,Day,4,Plastic,0
78.58,31.46,41.13,1225,1,Night,9,Plastic,0
80.61,31.07,41.64,1001,2,Day,2,Steel,0
85.83,32.45,43.27,1317,5,Evening,1,Plastic,1
85.54,30.28,59.47,829,10,Night,10,Steel,1
61.22,30,51.73,950,5,Day,0,Plastic,1
65.62,35.98,54.58,1347,10,Day,2,Aluminum,0
80.15,37.58,45.47,909,3,Day,12,Steel,0
80.14,22.46,31.01,920,5,Evening,10,Aluminum,0
80.15,30.05,24.2,1040,9,Day,0,Steel,1
113.53,26.56,29.71,1570,2,Evening,13,Steel,1
80.71,28.45,48.6,1401,6,Evening,5,Plastic,1
86.36,32.01,45.32,829,8,Day,10,Steel,1
84.54,33.35,42.9,1265,3,Evening,1,Aluminum,1
81.51,29.44,41.31,1264,2,Day,2,Aluminum,0
71.85,20.43,65.12,1036,11,Day,12,Plastic,1
82.59,25.17,36.77,1170,1,Day,7,Steel,0
67.27,34.48,54.28,1481,1,Night,4,Steel,1
72.63,16.3,45.02,948,11,Evening,11,Plastic,0
70.15,35.94,44.39,1173,4,Evening,1,Steel,1
75.82,32.61,56.77,1399,6,Day,1,Steel,1
98.15,36.58,59.63,1315,7,Evening,2,Aluminum,1
56.33,29.01,42.6,1232,8,Day,2,Aluminum,0
81.86,19.69,52.99,1051,8,Evening,7,Aluminum,0
58.87,32.15,48.64,1272,10,Evening,4,Aluminum,0
70.28,36.37,45.07,1362,1,Day,7,Steel,0
85.89,34.62,47.04,1335,8,Day,3,Steel,1
75.64,26.69,38.12,845,10,Day,8,Aluminum,0
64.22,30.43,41.94,1427,1,Evening,2,Steel,1
67.85,27.34,39.19,1338,3,Night,1,Plastic,1
81.8,25.9,54.01,1406,5,Night,5,Plastic,1
67.7,34.78,44.05,1234,11,Evening,10,Steel,0
77.16,24.01,32.02,1410,10,Evening,14,Steel,1
75.46,25.53,37.77,1427,10,Day,3,Aluminum,1
68.48,24.48,13.01,1075,8,Day,1,Aluminum,1
96.44,22.55,40.06,1307,8,Day,13,Plastic,1
81.34,30.73,45.38,894,6,Evening,5,Steel,0
54.75,35.81,43.64,1510,4,Day,3,Steel,1
76.86,29.08,64.8,945,4,Day,9,Aluminum,1
68.38,22.47,50.75,1466,8,Evening,10,Steel,1
83.52,34.2,50.3,1581,11,Night,3,Aluminum,1
67.07,38.43,28.57,1201,3,Day,12,Aluminum,0
73.85,26.77,41.35,1303,8,Night,9,Steel,0
80.05,27.61,40.13,1214,4,Day,3,Aluminum,0
83.66,32.58,37.14,1075,10,Day,3,Plastic,0
63,38.11,37,1125,9,Day,7,Aluminum,0
71.65,27.4,26.92,1055,2,Evening,0,Plastic,1
70.25,23.34,32.24,1356,10,Evening,8,Steel,0
68.47,33.16,53.74,1312,1,Day,13,Steel,0
92.65,34,43.57,946,4,Day,2,Steel,1
79.05,30.03,39.94,1094,9,Evening,4,Steel,0
62.39,27.21,44.95,1174,7,Evening,4,Steel,0
84.18,34.97,56.67,1466,9,Night,3,Aluminum,1
96.22,32.64,45.04,855,9,Evening,3,Steel,1
85.32,26.16,50.4,1025,10,Day,6,Steel,1
59.81,30.25,36.53,1318,9,Evening,13,Steel,0
70.16,23.24,38.81,819,9,Night,3,Plastic,0
87.67,33.43,48.54,958,7,Night,9,Aluminum,1
67.92,28.69,63.93,1269,8,Day,2,Steel,1
79.44,27.82,59.3,1390,2,Evening,10,Steel,0
82.75,29.84,50.83,1165,9,Night,8,Aluminum,0
65.73,30.2,46.51,800,2,Night,13,Plastic,0
74.4,34.47,59.01,1028,8,Night,3,Steel,0
42.59,32.96,52.95,1524,2,Day,3,Plastic,1
64.76,29.22,22.06,1082,11,Night,9,Aluminum,0
72.47,33.82,34.46,1559,8,Evening,11,Steel,1
62.52,32,48.38,918,3,Day,7,Aluminum,0
91.32,27.87,27.13,1026,2,Evening,11,Steel,1
60.7,29.38,36.02,823,6,Evening,10,Steel,0
70.6,29.26,38,1501,6,Night,6,Steel,1
76.31,32.53,42.44,1107,1,Day,3,Steel,0
89.41,28.16,42.13,1106,7,Day,13,Aluminum,1
60.64,28.05,42.11,1368,11,Evening,7,Steel,0
86.63,39.84,53.25,1293,1,Day,9,Plastic,1
75.1,34.7,42.35,1307,4,Day,1,Steel,1
65.18,26.2,41.15,1110,6,Day,12,Aluminum,0
79.62,32.85,31.51,888,8,Day,12,Plastic,0
76.99,30.59,55.24,1074,11,Night,8,Steel,0
69,31.96,38.29,1420,11,Evening,1,Aluminum,1
75.7,30.69,34.13,1452,8,Evening,13,Aluminum,1
71.15,35.95,47.13,1596,10,Day,9,Steel,1
76.14,31.73,37.33,1279,7,Day,13,Plastic,0
81.62,29.69,39.74,1256,11,Evening,13,Aluminum,0
90.86,35.21,47.58,1555,5,Evening,2,Aluminum,1
62.62,31.17,41.74,1385,6,Night,12,Plastic,0
96.33,30.61,68.12,1154,8,Day,5,Steel,1
55.48,31.57,44.25,1061,3,Evening,6,Steel,0
73.48,29.53,51.18,975,6,Night,8,Steel,0
80.88,30.05,25.58,1203,4,Night,7,Steel,0
77.81,27.07,36.39,1029,3,Day,10,Plastic,0
68.77,26.24,34.13,1387,3,Night,5,Aluminum,0
72.92,25.01,35.46,1122,4,Night,14,Steel,0
70.07,23.04,49.16,1494,6,Night,14,Aluminum,1
69.11,25.6,55.36,1585,11,Night,7,Aluminum,1
83.5,29.13,48.45,1076,1,Night,10,Plastic,0
78.57,30.52,42.73,1538,2,Day,12,Aluminum,1
68.07,28.64,38.69,1476,4,Day,10,Steel,1
84,18.22,56.14,1074,10,Day,4,Aluminum,0
78.07,37.87,65.71,1016,9,Day,9,Steel,1
83.13,35.43,46.35,989,8,Evening,9,Steel,0
81.3,32.23,54.39,817,10,Day,12,Steel,0
66.71,39.54,48.43,1543,8,Day,13,Aluminum,1
69.4,25.11,52.56,1213,11,Day,11,Plastic,0
82.47,39.44,33.35,983,7,Night,11,Aluminum,0
81.1,25.17,40.12,1417,6,Night,8,Plastic,1
74.79,31.19,48.95,1042,7,Night,3,Plastic,0
76.17,23.63,57.12,1225,6,Day,0,Plastic,1
87.78,30.07,36.82,852,3,Evening,14,Aluminum,1
69.08,31.93,24.67,1025,6,Evening,12,Plastic,0
80.47,29.23,40.02,1513,7,Day,13,Plastic,1
72.98,33.57,55.1,1397,6,Evening,7,Plastic,0
72.82,30.5,29.16,1361,11,Evening,4,Steel,0
85.99,27.39,33.23,1571,2,Day,12,Plastic,1
83.25,27.17,46.56,1118,6,Night,8,Steel,0
83.14,34.05,43.84,1506,2,Evening,2,Plastic,1
88.05,26.73,50.94,1168,1,Night,8,Aluminum,1
75.21,34.58,32.71,1047,10,Day,7,Steel,0
81.82,36.11,41.75,1367,10,Night,13,Plastic,0
71.9,21.66,56.95,976,10,Evening,14,Aluminum,0
78.24,35.66,33.07,1275,5,Night,5,Steel,0
73.7,40.3,59.77,1461,4,Night,14,Aluminum,1
75.97,31.26,34.33,812,9,Night,10,Plastic,0
80.95,33,53.49,1160,9,Day,9,Plastic,0
66.82,35.19,41.27,1088,9,Day,9,Plastic,0
95.92,28.62,33.55,1230,3,Day,10,Plastic,1
64.94,30.91,40.03,1375,10,Day,7,Steel,0
62.86,23.43,50.45,1138,3,Night,7,Steel,0
86.58,30.69,44.93,1416,3,Evening,6,Steel,1
82.92,32.49,56.18,1550,11,Night,13,Plastic,1
81.24,32.58,59.36,833,10,Night,6,Plastic,0
81.28,35.33,33.17,1123,5,Night,2,Aluminum,0
74.88,26.13,32.44,1350,6,Evening,6,Aluminum,0
66.03,27.34,31.95,1255,6,Evening,11,Steel,0
75.76,39.48,36.01,1024,3,Evening,2,Plastic,0
68.23,29.25,56.04,1440,2,Night,10,Plastic,1
84.75,31,50.6,932,6,Day,12,Aluminum,0
73.53,29.66,39.55,1279,4,Day,8,Steel,0
66.75,25.89,44.89,1351,9,Night,10,Plastic,0
71.79,38.12,59.04,1020,2,Day,4,Aluminum,0
79.13,27.36,64.08,1200,4,Day,10,Steel,1
69.36,24.36,47.59,1405,11,Night,7,Steel,1
66.78,27.75,18.41,1410,11,Night,11,Steel,1
77.44,19.99,47.97,859,2,Day,2,Aluminum,0
77.45,26.74,54.35,1440,5,Night,2,Plastic,1
69.93,25.16,47.25,931,3,Day,12,Aluminum,0
70.29,33.09,52.27,1192,4,Evening,2,Plastic,0
77.32,26.63,48.57,1380,9,Evening,12,Plastic,0
60.52,34.44,32.65,813,10,Night,14,Plastic,0
60.93,36.99,36.14,1234,11,Day,7,Steel,0
67.82,33.91,41.79,1273,5,Evening,8,Plastic,0
72.87,28.92,55.65,950,9,Night,12,Steel,0
78.11,30.71,37.34,1485,5,Evening,13,Aluminum,1
89.75,22.38,49.56,1269,10,Evening,6,Plastic,1
83.58,29.33,48.04,1210,9,Night,0,Aluminum,1
73.4,25.7,60.86,1144,8,Evening,5,Aluminum,1
74.81,33.47,44.58,995,1,Night,2,Plastic,0
64.97,42.86,27.45,1343,3,Night,0,Plastic,1
74.81,32.5,51.47,872,5,Evening,9,Steel,0
72.11,20.04,66.38,993,3,Evening,13,Plastic,1
78.23,28.19,52.12,1361,10,Day,1,Steel,1
66.73,30.61,37.12,1368,1,Evening,12,Steel,0
80.19,30.44,34.18,1428,11,Day,11,Plastic,1
90.33,26.35,35.47,991,2,Night,2,Plastic,1
73.91,31.23,65.03,1229,2,Evening,6,Plastic,1
79.02,23.79,41.73,1300,4,Evening,5,Steel,0
81.9,25.28,38.37,1016,6,Night,14,Steel,0
70.99,33.23,43.42,1422,2,Evening,1,Steel,1
77.24,24.92,41.83,1284,6,Day,11,Steel,0
75.13,32.69,60.68,1400,11,Evening,4,Steel,1
75.98,23.15,34.86,1159,1,Day,0,Plastic,1
67.27,38.82,56.81,1108,8,Evening,2,Steel,0
75.25,26.13,46.22,1468,3,Evening,13,Plastic,1
79.98,28.88,57.07,1220,8,Night,0,Steel,1
89.51,31.65,60.83,1380,3,Day,2,Steel,1
84.59,27.17,45.85,1581,1,Night,1,Plastic,1
96.53,30.72,41.85,1536,4,Night,3,Aluminum,1
67.33,32.88,45.66,1210,3,Night,4,Aluminum,0
83.72,34.8,44.05,1316,8,Day,2,Steel,0
76.83,33.96,28.43,1042,1,Night,9,Plastic,0
96.9,29.14,60.52,1429,9,Day,13,Aluminum,1
66.92,29.27,47.46,971,11,Day,4,Aluminum,0
66.6,41.75,33.37,1454,9,Evening,10,Plastic,1
69.01,34.75,24.32,1568,6,Day,6,Aluminum,1
53.76,25.39,21.72,1259,5,Day,9,Steel,0
69.74,30.5,52.7,1164,11,Evening,12,Steel,0
67.41,28.32,38.81,877,5,Night,8,Steel,0
76.5,29.32,40.45,1368,6,Evening,7,Aluminum,0
78.42,23.85,49.88,1289,7,Evening,14,Plastic,0
93.76,27.94,39.84,1331,8,Evening,11,Plastic,1
84.5,39.06,50.47,1325,3,Day,11,Steel,0
69.23,32.9,45.95,1005,10,Evening,5,Steel,0
66.02,17.54,44.16,1548,1,Day,14,Steel,1
79.92,36.08,29.27,1492,5,Day,14,Steel,1
61.8,35.45,36.8,1090,11,Day,13,Aluminum,0
93.31,28.2,51.03,1500,1,Day,8,Steel,1
86.79,33.59,38.18,1303,2,Night,7,Aluminum,1
70.31,25.7,57.05,1458,8,Day,11,Steel,1
57.87,27.65,68.46,1353,3,Day,3,Plastic,1
88.54,37.49,51.56,1227,11,Evening,10,Aluminum,1
73.85,28.64,59.93,1270,10,Evening,1,Plastic,1
87.38,20.65,52.21,1312,4,Day,8,Plastic,1
59.06,29.68,39.66,1123,11,Night,5,Plastic,0
69.01,29.61,47,1415,6,Night,9,Steel,1
75.05,35.99,65.13,1054,8,Evening,7,Plastic,1
75.47,30.07,39.76,1520,1,Night,7,Plastic,1
70.5,27.89,34.61,1529,2,Evening,3,Plastic,1
81.23,35.23,33.66,1389,11,Night,9,Aluminum,0
64.32,30.6,42.82,850,6,Night,4,Steel,0
73.58,26.25,34.97,1599,8,Night,0,Plastic,1
76.2,35.77,61.74,899,8,Evening,8,Steel,1
80.14,30.97,47.16,1523,3,Evening,14,Aluminum,1
82.12,30.01,54.72,1263,4,Day,6,Steel,0
63.75,30.89,42.01,1298,10,Day,0,Plastic,1
59.66,24.65,33.6,1036,4,Night,10,Steel,0
87.78,27.36,31.91,1271,4,Night,9,Steel,1
78.32,30.02,35.92,1197,2,Night,9,Steel,0
67.52,29.03,48.48,956,6,Evening,13,Steel,0
90.51,36.36,50.2,1097,8,Night,2,Steel,1
76.16,31.09,51.03,813,9,Day,8,Aluminum,0
86.79,34.27,30.11,915,1,Night,10,Plastic,1
75.68,30.05,45,938,1,Day,10,Steel,0
95.61,35.28,34.74,874,9,Night,11,Steel,1
92.55,31.99,49.01,1159,11,Night,0,Plastic,1
72.51,30.07,49.79,823,4,Night,5,Plastic,0
84.72,29.93,33.28,1205,11,Day,4,Plastic,0
81.45,25.23,54.68,1488,7,Day,13,Plastic,1
88.69,32.53,68.39,1366,2,Evening,3,Steel,1
65.35,29.8,53.35,1524,10,Day,0,Plastic,1
81.86,27.49,43.37,1125,1,Night,6,Aluminum,0
85.58,35.53,41.83,1133,11,Day,0,Steel,1
57.41,23.75,42.91,1128,7,Night,0,Aluminum,1
63.17,27.89,37.39,1474,6,Night,1,Plastic,1
54.61,35.14,47.52,1099,3,Day,8,Aluminum,0
72.31,31.58,33.62,1475,10,Evening,0,Steel,1
82.18,29.76,26.1,888,4,Day,7,Steel,0
90.02,31.26,47.2,814,1,Day,12,Steel,1
75.74,30.9,45.21,1100,7,Night,0,Steel,1
91.29,22.42,39.29,1433,9,Day,10,Aluminum,1
61.2,28.25,32.17,1117,1,Evening,0,Steel,1
57.97,38.08,47.9,977,2,Night,8,Steel,0
74.44,26.7,35.1,1261,2,Day,7,Steel,0
78.84,28.41,43.61,1068,6,Evening,13,Plastic,0
74.67,27.29,62.65,904,5,Night,0,Aluminum,1
54.33,29.56,51.51,1470,6,Evening,6,Plastic,1
74.11,27.08,31.31,1316,1,Evening,7,Steel,0
61.96,32.43,32.25,1138,6,Night,1,Plastic,1
81.7,30.99,46.52,1191,11,Day,3,Steel,0
78.67,33.87,31.25,940,6,Evening,1,Plastic,1
65.6,24.75,24.98,968,7,Night,12,Steel,0
69.86,28.3,50.32,816,2,Day,13,Steel,0
64.41,28.87,48.21,1343,6,Evening,5,Steel,0
74.37,32.28,49.51,804,9,Night,4,Plastic,0
84.55,26.03,47.63,936,9,Evening,10,Steel,0
65.14,34.58,44.35,1418,2,Day,10,Plastic,1
80.04,35.93,38.38,961,5,Day,4,Steel,0
69.7,25.06,50.16,1568,7,Day,11,Aluminum,1
67.07,27.55,60.3,1479,5,Night,13,Steel,1
73.93,27.34,39.99,1262,3,Day,7,Aluminum,0
64.65,43.16,34.79,1237,1,Day,11,Steel,0
69.46,27.85,33.65,1181,7,Night,12,Steel,0
63.02,38.39,36.33,1599,8,Day,0,Steel,1
94.65,23.67,47.03,1181,6,Day,9,Steel,1
75.35,25.05,23.6,1281,7,Day,1,Steel,1
68,26.57,49.39,1154,9,Night,0,Plastic,1
77.14,25.77,51.44,1044,2,Day,3,Plastic,0
73.88,28.66,27.02,1424,5,Evening,1,Plastic,1
72.79,26.46,35.21,1489,3,Night,9,Aluminum,1
81.14,25.9,45.8,1275,2,Evening,10,Steel,0
82.58,35.79,43.57,1264,3,Night,6,Steel,0
69.69,36.12,50.2,989,4,Night,11,Steel,0
69.24,34.75,43.59,1293,2,Night,4,Aluminum,0
72.25,32.62,57.65,1322,2,Evening,4,Aluminum,0
51.98,30.46,41.79,1334,8,Day,0,Aluminum,1
59.85,27.51,35.17,1430,3,Day,14,Aluminum,1
88.67,25.23,34.37,1081,3,Day,1,Plastic,1
91.45,31.81,52.35,1229,4,Day,4,Aluminum,1
72.51,24.13,45.3,1380,11,Night,6,Aluminum,0
80.77,25.03,51.34,1445,5,Night,0,Aluminum,1
78.11,35.76,51.13,1052,3,Evening,6,Aluminum,0
105.79,39.5,24.8,1362,6,Day,10,Plastic,1
86.2,31.97,33.6,842,10,Night,11,Steel,1
